Date,Close,Volume,log_return,rsi_14,macd_norm,macd_signal,dist_sma_10,dist_sma_20,dist_sma_50,dist_sma_200,bb_position,volatility_5,volatility_10,volatility_20,vol_of_vol,return_streak,day_of_week,month,return_lag_1,return_lag_2,return_lag_3,return_lag_5,target
2019-03-15,2822.47998046875,5969780000,0.0049725194084307206,0.5750296267378356,0.008844449357581208,0.009478100611635258,0.012999139103747856,0.012716182607137454,0.04340074680628409,0.02525303399494213,0.9683640279863287,0.0057278776883421595,0.006831480809598963,0.005712093368178106,0.0007020310770698472,0.2,1.0,0.18181818181818182,-0.0008683993315961826,0.0069255467570192835,0.002948965727805163,-0.0021339641314536495,1.0
2019-03-18,2832.93994140625,3620770000,0.0036990967989080333,0.6060988879747339,0.009352786424909568,0.00945303777429012,0.015290959663861759,0.015424700486072244,0.044294564964900286,0.028849018251122988,1.0053567637273988,0.002886284699763976,0.006689093423277376,0.00529964869686083,0.0005749185917419044,0.4,0.0,0.18181818181818182,0.0049725194084307206,-0.0008683993315961826,0.0069255467570192835,0.014559535563489445,0.0
2019-03-19,2832.570068359375,3650740000,-0.00013057007992675946,0.6099117469143469,0.009660903137077733,0.009494610846847643,0.013599277049803873,0.014332111901793808,0.04184906594725322,0.028476947298873446,0.9320834888020378,0.0033362471139834872,0.0066539271998232105,0.005304467886776616,0.0004616884458956318,-0.2,0.25,0.18181818181818182,0.0036990967989080333,0.0049725194084307206,-0.0008683993315961826,0.002948965727805163,0.0
2019-03-20,2824.22998046875,3779160000,-0.002948696740769673,0.6084136014695363,0.009584595747276527,0.00951260782693342,0.008709766108097018,0.010630258297257339,0.03668782582196749,0.02528195249040392,0.8079156187371448,0.0032943931149876154,0.006254307540547088,0.005370129468881535,0.00044932669612110575,-0.4,0.5,0.18181818181818182,-0.00013057007992675946,0.0036990967989080333,0.0049725194084307206,0.0069255467570192835,1.0
2019-03-21,2854.8798828125,3612620000,0.010794015494689354,0.631438594203698,0.01014881785296738,0.009639849832140213,0.01581279427326179,0.020137908154980007,0.04578514972760029,0.036205652918890906,1.0192225741330645,0.0052423588942496656,0.005720907117746155,0.0057193185390561375,0.0004109348440410959,0.2,0.75,0.18181818181818182,-0.002948696740769673,-0.00013057007992675946,0.0036990967989080333,-0.0008683993315961826,0.0
2019-03-22,2800.7099609375,4253730000,-0.019156827134273257,0.5165950716360594,0.009217090023701474,0.009555297870452466,-0.005501385268149674,0.0006375606919638939,0.024322803332855473,0.01644841196701871,0.5164600640546637,0.011111921767777626,0.009169791805018566,0.007209728060181632,0.0005020610200633241,-0.2,1.0,0.18181818181818182,0.010794015494689354,-0.002948696740769673,-0.00013057007992675946,0.0049725194084307206,0.0
2019-03-25,2798.360107421875,3406110000,-0.000839372833310059,0.518359751710822,0.008168197566844832,0.009277877809730939,-0.006866882655526188,-0.00024217915517340505,0.021955449142190938,0.015547658476972698,0.49374558749629777,0.010755747242111438,0.008067921410430626,0.007208157695247085,0.0005854705260431463,-0.4,0.0,0.18181818181818182,-0.019156827134273257,0.010794015494689354,-0.002948696740769673,0.0036990967989080333,1.0
2019-03-26,2818.4599609375,3288570000,0.007157052947934055,0.5983024144595979,0.007764477756409637,0.008975197799066678,-0.0006889148795139612,0.006497233502106748,0.027628096797054018,0.022752812496768735,0.6659715478141609,0.011609585461207878,0.008313555259270675,0.0073770398078406366,0.0006883083752155756,0.2,0.25,0.18181818181818182,-0.000839372833310059,-0.019156827134273257,0.010794015494689354,-0.00013057007992675946,0.0
2019-03-27,2805.3701171875,3422400000,-0.00465514327659887,0.6228675599113487,0.007067664714772384,0.008593691182207819,-0.0051342770494732255,0.0015904180185366877,0.021196632566050557,0.017954167114142723,0.5407002007863893,0.01170592128419667,0.008196054388064315,0.007462611373522384,0.0007801764620435797,-0.2,0.5,0.18181818181818182,0.007157052947934055,-0.000839372833310059,-0.019156827134273257,-0.002948696740769673,1.0
2019-03-28,2815.43994140625,3185460000,0.0035830547152617266,0.6547099244370356,0.006675180794951439,0.008209989104756543,-0.0018095986962011355,0.004630552902666048,0.023333870643775557,0.02154611765243575,0.619012721453919,0.01018229007205084,0.008276069188579822,0.007461905697414454,0.0008400617533488005,0.2,0.75,0.18181818181818182,-0.00465514327659887,0.007157052947934055,-0.000839372833310059,0.010794015494689354,1.0
2019-03-29,2834.39990234375,3752520000,0.006711706043324668,0.6201677140662336,0.006802809316360537,0.007928553147077343,0.004487987564033027,0.010842165630208985,0.028592994975033956,0.028336786639197295,0.7696913609642113,0.0050716910030153385,0.008403686494610993,0.007454859089516386,0.0008761222565701591,0.4,1.0,0.18181818181818182,0.0035830547152617266,-0.00465514327659887,0.007157052947934055,-0.019156827134273257,1.0
2019-04-01,2867.18994140625,3560090000,0.011502195518044496,0.6595140016839488,0.007694103202643787,0.007881663158190631,0.014876658456462029,0.021181782480326636,0.03874909567477606,0.04006045735928889,0.9741647886318088,0.00602064301785183,0.009077131982733539,0.007761231713550836,0.0009285823060547915,0.6,0.0,0.2727272727272727,0.006711706043324668,0.0035830547152617266,-0.00465514327659887,-0.000839372833310059,1.0
2019-04-02,2867.239990234375,3267210000,1.7455554858152623e-05,0.6292698726505124,0.008366928315910245,0.007978716189734555,0.013650438308615103,0.019790533874754275,0.03729011603951379,0.03991876286345732,0.9126035784405091,0.006184018616445386,0.009074838310117019,0.007746402693138844,0.0009544729153240005,0.8,0.25,0.2727272727272727,0.011502195518044496,0.006711706043324668,0.0035830547152617266,0.007157052947934055,1.0
2019-04-03,2873.39990234375,3570000000,0.002146072420089187,0.6465070203392596,0.008950976532840375,0.00817316825835572,0.014065395839027554,0.020131902936493893,0.03771285263931645,0.04197577201550497,0.9049526319855009,0.004471318352972617,0.008957264824792645,0.007519341344781044,0.0009608936391029455,1.0,0.5,0.2727272727272727,1.7455554858152623e-05,0.011502195518044496,0.006711706043324668,-0.00465514327659887,1.0
